header:
	global_attibutes:
		acknowledgement: this ephemeris file was created using SOAP software of ASC LPI RSSI
	variables:
		- timestamp:
			comment: 1st column
			description: epoch
			units: YYYY-MM-DDTHH:MM:SS.S
		- coord_x:
			comment: 2nd column
			description: X coordinate in geocentric inertial frame
			units: km
		- coord_y:
			comment: 3d column
			description: Y coordinate in geocentric inertial frame
			units: km
		- coord_z:
			comment: 4th column
			description: Z coordinate in geocentric inertial frame
			units: km
		- vel_x:
			comment: 5th column
			description: X velocity component in geocentric inertial frame
			units: km / s
		- vel_y:
			comment: 6th column
			description: Y velocity component in geocentric inertial frame
			units: km / s
		- vel_z:
			comment: 7th column
			description: Z velocity component in geocentric inertial frame
			units: km / s
		- quat_w:
			comment: 8th column
			description: scalar component of rotation quaternion
		- quat_x:
			comment: 9th column
			description: i-component of rotation quaternion
		- quat_y:
			comment: 10th column
			description: j-component of rotation quaternion
		- quat_z:
			comment: 11th column
			description: k-component of rotation quaternion
#End of YAML header
2026-2-18T0:0:0	6900	0	0	0	7.5999999999999996	0	0.65630599999999994	-0.093278	-0.615255	0.42664099999999999
2026-2-18T0:0:1	6899.9958080415445	7.5999984282980204	-3.8817544368800757e-08	-0.0083839160169633421	7.5999953174913983	-7.7649134794306317e-08	0.65630600216617008	-0.093278101485370607	-0.61525503848481544	0.42664091898104683
2026-2-18T0:0:2	6899.9832321714448	15.199987556775296	-1.5532637743562882e-07	-0.016767821597467342	7.5999814003606643	-1.553825936973138e-07	0.65630600216617008	-0.093278101485370607	-0.61525503848481544	0.42664091898104683
2026-2-18T0:0:3	6899.9622724052088	22.799958150818	-3.4961087504814097e-07	-0.025151706599304761	7.5999582486262485	-2.3320048301991719e-07	0.65630650766586518	-0.093278047123224225	-0.61525467991786442	0.42664067033685299
2026-2-18T0:0:4	6899.9329287684859	30.399900975836289	-6.2175552785209477e-07	-0.033535560880324951	7.5999258623176855	-3.1110292603517638e-07	0.65630751866438441	-0.093277938398674556	-0.61525396278322364	0.42664017304776997
2026-2-18T0:0:5	6899.8952012970685	37.999806797275404	-9.7184495821426713e-07	-0.041919374298446152	7.5998842414755936	-3.8909006289733465e-07	0.65630903515997341	-0.093277775311339184	-0.61525288707932568	0.42663942711252817
2026-2-18T0:0:6	6899.8490900368906	45.599666380626736	-1.3999639370570315e-06	-0.050303136711667744	7.59983338615167	-4.6716205054618567e-07	0.65631105714999383	-0.093277557860710153	-0.61525145280377425	0.42663843252928396
2026-2-18T0:0:7	6899.794595044028	53.199470491438937	-1.9061974005899434e-06	-0.058686837978082454	7.599773296408693	-5.4531906259669278e-07	0.65631358463092315	-0.093277286046154026	-0.61524965995334413	0.42663718929561933
2026-2-18T0:0:8	6899.7317163846974	60.799209895328936	-2.490630466923734e-06	-0.067070467955888544	7.5997039723205191	-6.2356128921425711e-07	0.65631661759835536	-0.09327695986691184	-0.6152475085239818	0.42663569740854224
2026-2-18T0:0:9	6899.660454135259	68.398875357993091	-3.1533484525524187e-06	-0.075454016503401916	7.5996254139720838	-7.0188893697570456e-07	0.65632015604700045	-0.093276579322099151	-0.61524499851080472	0.42663395686448646
2026-2-18T0:0:10	6899.5808083822139	75.998457645218224	-3.8944368886893496e-06	-0.083837473479068253	7.5995376214593966	-7.8030222871620765e-07	0.65632419997068447	-0.093276144410705975	-0.61524212990810179	0.42663196765931155
2026-2-18T0:0:11	6899.4927792222052	83.597947522892696	-4.7139815374432578e-06	-0.092220828741474928	7.5994405948895443	-8.5880140336240235e-07	0.65632874936234953	-0.093275655131596844	-0.61523890270933312	0.42662972978830294
2026-2-18T0:0:12	6899.3963667620164	91.197335757017512	-5.612068407820605e-06	-0.10060407214936314	7.5993343343806856	-9.3738671575190607e-07	0.65633380421405396	-0.093275111483510781	-0.6152353169071304	0.42662724324617196
2026-2-18T0:0:13	6899.2915711185724	98.796613113717356	-6.5887837715407323e-06	-0.10898719356163977	7.5992188400620551	-1.0160584364394527e-06	0.65633936451697195	-0.09327451346506134	-0.6152313724932964	0.42662450802705587
2026-2-18T0:0:14	6899.1783924189385	106.39577035925167	-7.644214178650584e-06	-0.11737018283738937	7.5990941120739546	-1.094816851489953e-06	0.65634543026139358	-0.09327386107473655	-0.61522706945880512	0.42662152412451776
2026-2-18T0:0:15	6899.056830800323	113.99479826002576	-8.7784464729260617e-06	-0.12575302983588593	7.5989601505677582	-1.1736622622587067e-06	0.65635200143672501	-0.093273154310898998	-0.61522240779380233	0.42661829153154679
2026-2-18T0:0:16	6898.9268864100723	121.59368758260185	-9.9915678070472399e-06	-0.13413572441660482	7.5988169557059102	-1.2525949851590097e-06	0.6563590780314883	-0.093272393171785706	-0.61521738748760502	0.42661481024055781
2026-2-18T0:0:17	6898.7885594056761	129.1924290937101	-1.1283665657535061e-05	-0.14251825643923438	7.5986645276619207	-1.3316153514175296e-06	0.65636666003332145	-0.093271577655508295	-0.61521200852870173	0.42661108024339189
2026-2-18T0:0:18	6898.6418499547608	136.79101356025973	-1.2654827839437401e-05	-0.15090061576368788	7.5985028666203664	-1.4107237068176944e-06	0.65637474742897794	-0.093270707760052904	-0.61520627090475266	0.42660710153131604
2026-2-18T0:0:19	6898.4867582350944	144.38943174935008	-1.4105142520752613e-05	-0.15928279225011505	7.5983319727768901	-1.4899204114313563e-06	0.65638334020432754	-0.093269783483280175	-0.61520017460258913	0.42660287409502323
2026-2-18T0:0:20	6898.3232844345857	151.98767442828165	-1.5634698236579052e-05	-0.16766477575891375	7.5981518463381983	-1.5692058393391402e-06	0.65639243834435512	-0.093268804822925308	-0.61519371960821434	0.42659839792463256
2026-2-18T0:0:21	6898.1514287512819	159.58573236456718	-1.7243583902979408e-05	-0.17604655615074175	7.5979624875220582	-1.6485803783397281e-06	0.65640204183316164	-0.093267771776598007	-0.61518690590680269	0.42659367300968914
2026-2-18T0:0:22	6897.9711913933688	167.18359632594274	-1.8931888830548928e-05	-0.18442812328652794	7.5977638965573018	-1.7280444296484519e-06	0.65641215065396352	-0.093266684341782591	-0.61517973348270083	0.42658869933916432
2026-2-18T0:0:23	6897.7825725791736	174.78125708037874	-2.0699702737677053e-05	-0.19280946702748428	7.5975560736838181	-1.8075984075855434e-06	0.65642276478909267	-0.093265542515837921	-0.61517220231942649	0.42658347690145543
2026-2-18T0:0:24	6897.5855725371584	182.37870539609099	-2.2547115763492206e-05	-0.20119057723511694	7.5973390191525567	-1.8872427392543081e-06	0.65643388421999638	-0.093264346295997405	-0.61516431239966973	0.4265780056843862
2026-2-18T0:0:25	6897.3801915059275	189.97593204155183	-2.4474218480479971e-05	-0.20957144377123796	7.5971127332255248	-1.9669778642097115e-06	0.65644550892723741	-0.093263095679368996	-0.61515606370529197	0.42657228567520633
2026-2-18T0:0:26	6897.1664297342204	197.57292778550104	-2.648110190676512e-05	-0.21795205649797658	7.5968772161757849	-2.0468042341176596e-06	0.65645763889049391	-0.093261790662935273	-0.61514745621732669	0.42656631686059199
2026-2-18T0:0:27	6896.9442874809147	205.16968339695708	-2.8567857518048488e-05	-0.22633240527779064	7.5966324682874555	-2.1267223124053361e-06	0.65647027408855918	-0.093260431243553432	-0.61513848991597886	0.42656009922664556
2026-2-18T0:0:28	6896.7137650150271	212.76618964522802	-3.0734577259189831e-05	-0.23471247997347786	7.5963784898557112	-2.2067325739030496e-06	0.65648341449934144	-0.093259017417955212	-0.61512916478062596	0.4265536327588958
2026-2-18T0:0:29	6896.4748626157088	220.36243729992265	-3.2981353555428473e-05	-0.24309227044818724	7.5961152811867763	-2.2868355044778722e-06	0.6564970600998643	-0.093257549182746965	-0.61511948078981704	0.42654691744229772
2026-2-18T0:0:30	6896.2275805722502	227.95841713096146	-3.5308279323233619e-05	-0.2514717665654303	7.5958428425979285	-2.367031600659559e-06	0.65651121086626629	-0.093256026534409717	-0.61510943792127359	0.42653995326123306
2026-2-18T0:0:31	6895.9719191840759	235.55411990858784	-3.7715447980776939e-05	-0.25985095818909226	7.5955611744174956	-2.4473213692590771e-06	0.65652586677380076	-0.093254449469299047	-0.61509903615188899	0.42653274019950976
2026-2-18T0:0:32	6895.7078787607479	243.14953640337893	-4.0202953458020089e-05	-0.26822983518344334	7.5952702769848539	-2.5277053269801696e-06	0.65654102779683565	-0.093252817983645223	-0.61508827545772893	0.4265252782403624
2026-2-18T0:0:33	6895.4354596219628	250.74465738625682	-4.2770890206410565e-05	-0.2766083874131498	7.5949701506504317	-2.6081840000243736e-06	0.65655669390885385	-0.093251132073553136	-0.61507715581403111	0.42651756736645213
2026-2-18T0:0:34	6895.1546620975541	258.33947362849955	-4.5419353208179366e-05	-0.28498660474328519	7.5946607957756997	-2.6887579236898384e-06	0.65657286508245294	-0.093249391735002365	-0.615065677195206	0.42650960755986672
2026-2-18T0:0:35	6894.8654865274866	265.93397590175221	-4.8148437985234649e-05	-0.2933644770393416	7.5943422127331779	-2.7694276419644477e-06	0.65658954128934455	-0.093247596963847115	-0.61505383957483606	0.42650139880212062
2026-2-18T0:0:36	6894.5679332618647	273.52815497803778	-5.0958240607645755e-05	-0.30174199416724046	7.5940144019064322	-2.8501937071135621e-06	0.65660672250035479	-0.09324574775581633	-0.61504164292567665	0.42649294107415497
2026-2-18T0:0:37	6894.2620026609211	281.12200162976842	-5.384885770171252e-05	-0.31011914599334378	7.5936773636900705	-2.9310566792628888e-06	0.65662440868542449	-0.093243844106513638	-0.61502908721965543	0.42648423435633781
2026-2-18T0:0:38	6893.9476950950229	288.71550662975642	-5.6820386457615151e-05	-0.31849592238446517	7.5933310984897453	-3.0120171259768491e-06	0.65664259981360817	-0.093241886011417335	-0.61501617242787276	0.42647527862846402
2026-2-18T0:0:39	6893.6250109446737	296.30866075122532	-5.9872924636640391e-05	-0.3268723132078809	7.5929756067221517	-3.0930756218328147e-06	0.65666129585307442	-0.09323987346588046	-0.61500289852060175	0.42646607386975527
2026-2-18T0:0:40	6893.2939506005068	303.90145476782078	-6.3006570577980086e-05	-0.33524830833134084	7.5926108888150239	-3.1742327479917506e-06	0.65668049677110574	-0.093237806465130815	-0.61498926546728827	0.42645662005886031
2026-2-18T0:0:41	6892.9545144632884	311.49387945362173	-6.622142320509868e-05	-0.34362389762307943	7.5922369452071381	-3.255489091765611e-06	0.65670020253409855	-0.093235685004270916	-0.61497527323655132	0.42644691717385497
2026-2-18T0:0:42	6892.6067029439155	319.08592558315138	-6.9517582031666765e-05	-0.35199907095182675	7.5918537763483105	-3.3368452461818728e-06	0.65672041310756279	-0.093233509078278071	-0.61496092179618256	0.42643696519224206
2026-2-18T0:0:43	6892.2505164634167	326.67758393138826	-7.289514716705785e-05	-0.36037381818681941	7.5914613826993955	-3.4183018095457684e-06	0.65674112845612187	-0.093231278682004357	-0.61494621111314696	0.4264267640909517
2026-2-18T0:0:44	6891.8859554529508	334.26884527377729	-7.6354219321406367e-05	-0.36874812919781141	7.5910597647322842	-3.4998593850004389e-06	0.65676234854351268	-0.093228993810176602	-0.61493114115358261	0.4264163138463411
2026-2-18T0:0:45	6891.5130203538056	341.85970038624089	-7.9894899810224965e-05	-0.37712199385508527	7.5906489229299074	-3.5815185800856329e-06	0.65678407333258537	-0.093226654457396488	-0.61491571188280103	0.42640561443419489
2026-2-18T0:0:46	6891.1317116174005	349.45014004518987	-8.3517290558580065e-05	-0.38549540202946259	7.5902288577862311	-3.66328000629519e-06	0.65680630278530305	-0.093224260618140514	-0.61489992326528708	0.42639466582972507
2026-2-18T0:0:47	6890.7420297052822	357.04015502753447	-8.72214941048243e-05	-0.39386834359231537	7.5897995698062557	-3.7451442786338608e-06	0.65682903686274174	-0.09322181228676002	-0.61488377526469873	0.42638346800757104
2026-2-18T0:0:48	6890.3439750891275	364.62973611069549	-9.1007613603885738e-05	-0.40224080841557669	7.5893610595060164	-3.8271120151738156e-06	0.65685227552509051	-0.093219309457481164	-0.61486726784386814	0.42637202094179988
2026-2-18T0:0:49	6889.9375482507394	372.21887407261534	-9.4875752830113531e-05	-0.41061278637175147	7.5889133274125857	-3.9091838366112198e-06	0.6568760187316508	-0.093216752124405028	-0.61485040096480092	0.42636032460590606
2026-2-18T0:0:50	6889.5227496820489	379.80755969176886	-9.8826016179680458e-05	-0.41898426733392763	7.5884563740640667	-3.9913603658233742e-06	0.65690026644083666	-0.09321414028150754	-0.61483317458867637	0.42634837897281191
2026-2-18T0:0:51	6889.0995798851127	387.39578374717473	-0.00010285850867254293	-0.42735524117578683	7.587990200009596	-4.0736422274267371e-06	0.65692501861017438	-0.093211473922639551	-0.61481558867584762	0.42633618401486745
2026-2-18T0:0:52	6888.6680393721126	394.98353701840603	-0.00010697333595395975	-0.43572569777161529	7.5875148058093433	-4.1560300473362373e-06	0.65695027519630267	-0.093208753041526843	-0.61479764318584218	0.42632373970385051
2026-2-18T0:0:53	6888.2281286653597	402.57081028560174	-0.00011117060429557092	-0.44409562699631477	7.5870301920345096	-4.2385244523263782e-06	0.65697603615497191	-0.093205977631770132	-0.61477933807736163	0.42631104601096698
2026-2-18T0:0:54	6887.7798482972858	410.15759432947743	-0.00011545042059603859	-0.4524650187254135	7.5865363592673276	-4.3211260695943745e-06	0.65700230144104443	-0.093203147686845081	-0.61476067330828166	0.42629810290685066
2026-2-18T0:0:55	6887.323198810449	417.74387993133655	-0.00011981289238125239	-0.46083386283507694	7.5860333081010625	-4.403835526325754e-06	0.65702907100849439	-0.093200263200102385	-0.61474164883565252	0.42628491036156357
2026-2-18T0:0:56	6886.8581807575301	425.32965787308115	-0.00012425812780410172	-0.46920214920211872	7.5855210391400067	-4.4866534492629061e-06	0.6570563448104072	-0.093197324164767656	-0.6147222646156989	0.42627146834459584
2026-2-18T0:0:57	6886.3847947013337	432.91491893722326	-0.00012878623564381819	-0.47756986770401166	7.5849995529994851	-4.5695804642767957e-06	0.65708412279897965	-0.093194330573941608	-0.61470252060382025	0.42625777682486582
2026-2-18T0:0:58	6885.9030412147849	440.49965390689567	-0.00013339732530489158	-0.48593700821889846	7.5844688503058508	-4.6526171959422775e-06	0.65711240492551937	-0.09319128242059993	-0.61468241675459057	0.42624383577072039
2026-2-18T0:0:59	6885.4129208809327	448.08385356586291	-0.00013809150681556303	-0.49430356062560282	7.5839289316964873	-4.7357642671174425e-06	0.65714119114044545	-0.09318817969759341	-0.61466195302175897	0.42622964514993478
2026-2-18T0:1:0	6884.914434292944	455.66750869853274	-0.00014286889082589963	-0.5026695148036403	7.5833797978198056	-4.8190222985271858e-06	0.65717048139328726	-0.093185022397647893	-0.61464112935824955	0.42621520492971288
2026-2-18T0:1:1	6884.4075820541084	463.25061008996647	-0.00014772958860545507	-0.51103486063322912	7.5828214493352464	-4.9023919083514989e-06	0.65720027563268502	-0.093181810513364313	-0.61461994571616163	0.4262005150766871
2026-2-18T0:1:2	6883.8923647778338	470.83314852589064	-0.00015267371204052087	-0.5193995879953015	7.5822538869132785	-4.9858737118187133e-06	0.65723057380638905	-0.093178544037218772	-0.61459840204676985	0.42618557555691888
2026-2-18T0:1:3	6883.3687830876461	478.41511479270758	-0.00015770137363097355	-0.52776368677151442	7.5816771112353987	-5.0694683208041144e-06	0.65726137586125988	-0.093175222961562471	-0.6145764983005243	0.42617038633589832
2026-2-18T0:1:4	6882.8368376171911	485.99649967750685	-0.00016281268648672326	-0.53612714684426033	7.581091122994132	-5.1531763434341708e-06	0.65729268174326827	-0.093171847278621794	-0.61455423442705059	0.42615494737854448
2026-2-18T0:1:5	6882.2965290102302	493.57729396807576	-0.00016800776432376961	-0.54448995809667877	7.5804959228930313	-5.2369983836967284e-06	0.65732449139749416	-0.093168416980498325	-0.61453161037515025	0.4261392586492056
2026-2-18T0:1:6	6881.7478579206427	501.15748845291097	-0.00017328672145987056	-0.55285211041266702	7.5798915116466761	-5.3209350410574768e-06	0.65735680476812752	-0.09316493205916887	-0.61450862609280066	0.4261233201116591
2026-2-18T0:1:7	6881.1908250124216	508.73707392122913	-0.00017864967280983136	-0.56121359367689116	7.5792778899806734	-5.4049869100829585e-06	0.65738962179846716	-0.093161392506485405	-0.61448528152715498	0.42610713172911158
2026-2-18T0:1:8	6880.625430959677	516.31604116297785	-0.00018409673388041973	-0.56957439777479735	7.5786550586316581	-5.4891545800704485e-06	0.65742294243092148	-0.093157798314175227	-0.61446157662454315	0.42609069346419898
2026-2-18T0:1:9	6880.051676446632	523.89438096884714	-0.00018962802076491443	-0.57793451259262296	7.5780230183472908	-5.5734386346849024e-06	0.65745676660700736	-0.093154149473840916	-0.61443751133047086	0.42607400527898687
2026-2-18T0:1:10	6879.4695621676219	531.47208413028011	-0.00019524365013729459	-0.58629392801740754	7.5773817698862613	-5.6578396516033367e-06	0.65749109426735053	-0.09315044597696033	-0.61441308558962093	0.42605706713497049
2026-2-18T0:1:11	6878.8790888270969	539.04914143948395	-0.00020094373924607698	-0.59465263393700407	7.5767313140182848	-5.742358202166819e-06	0.65752592535168497	-0.093146687814886692	-0.61438829934585248	0.42603987899307466
2026-2-18T0:1:12	6878.2802571396187	546.6255436894412	-0.00020672840590780944	-0.60301062024009033	7.5760716515241029	-5.826994851040364e-06	0.65756125979885305	-0.093142874978848531	-0.61436315254220153	0.42602244081365415
2026-2-18T0:1:13	6877.6730678298591	554.20128167392068	-0.00021259776850022816	-0.61136787681617966	7.5754027831954875	-5.9117501558809299e-06	0.65759709754680518	-0.093139007459949796	-0.61433764512088118	0.42600475255649367
2026-2-18T0:1:14	6877.0575216325997	561.77634618748834	-0.00021855194595508701	-0.61972439355563269	7.5747247098352322	-5.9966246670137763e-06	0.65763343853259892	-0.093135085249169872	-0.61431177702328155	0.42598681418080803
2026-2-18T0:1:15	6876.4336192927303	569.35072802551849	-0.00022459105775066764	-0.62808016034966863	7.5740374322571613	-6.0816189271173624e-06	0.65767028269239991	-0.093131108337363502	-0.61428554818997039	0.42596862564524218
2026-2-18T0:1:16	6875.8013615652508	576.92441798420487	-0.00023071522390397876	-0.63643516709037651	7.5733409512861245	-6.1667334709170227e-06	0.65770762996148069	-0.093127076715260965	-0.6142589585606929	0.42595018690787151
2026-2-18T0:1:17	6875.1607492152689	584.49740686057146	-0.00023692456496265355	-0.64478940367072668	7.5726352677579989	-6.251968824887577e-06	0.65774548027422108	-0.093122990373467981	-0.61423200807437184	0.42593149792620172
2026-2-18T0:1:18	6874.511783017997	592.0696854524839	-0.00024321920199655425	-0.65314285998458155	7.5719203825196884	-6.3373255069651122e-06	0.65778383356410719	-0.093118849302465848	-0.61420469666910793	0.42591255865716915
2026-2-18T0:1:19	6873.8544637587556	599.64124455865999	-0.00024959925658909321	-0.66149552592670813	7.5711962964291235	-6.4228040262680272e-06	0.65782268976373193	-0.093114653492611332	-0.61417702428218002	0.42589336905714087
2026-2-18T0:1:20	6873.1887922329688	607.2120749786809	-0.00025606485082827976	-0.66984739139278882	7.5704630103552626	-6.5084048828275333e-06	0.65786204880479437	-0.093110402934136832	-0.61414899085004515	0.42587392908191479
2026-2-18T0:1:21	6872.5147692461633	614.78216751300261	-0.00026261610729750191	-0.67819844627943293	7.5697205251780906	-6.5941285673278179e-06	0.65790191061809955	-0.093106097617150316	-0.61412059630833882	0.42585423868671984
2026-2-18T0:1:22	6871.8323956139702	622.35151296296624	-0.00026925314906605399	-0.68654868048418871	7.5689688417886201	-6.679975560855908e-06	0.65794227513355807	-0.093101737531635378	-0.61409184059187516	0.4258342978262159
2026-2-18T0:1:23	6871.1416721621217	629.92010213080971	-0.00027597609967941808	-0.69489808390555452	7.5682079610888886	-6.7659463346614121e-06	0.65798314228018606	-0.093097322667451299	-0.6140627236346472	0.42581410645449419
2026-2-18T0:1:24	6870.4425997264534	637.48792581967825	-0.00028278508314931092	-0.70324664644299062	7.567437883991964	-6.8520413499262548e-06	0.6580245119861049	-0.093092853014333038	-0.61403324536982673	0.42579366452507728
2026-2-18T0:1:25	6869.7351791528972	645.05497483363581	-0.00028968022394350507	-0.71159435799693094	7.5666586114219401	-6.9382610575444861e-06	0.65806638417854069	-0.093088328561891268	-0.61400340572976486	0.42577297199091918
2026-2-18T0:1:26	6869.0194112974877	652.62123997767605	-0.00029666164697543534	-0.71994120846879472	7.5658701443139389	-7.0246058979122563e-06	0.65810875878382413	-0.093083749299612412	-0.61397320464599214	0.4257520288044056
2026-2-18T0:1:27	6868.2952970263532	660.18671205773308	-0.00030372947759359995	-0.72828718776099843	7.5650724836141077	-7.1110763007280574e-06	0.65815163572739033	-0.093079115216858688	-0.61394264204921889	0.42573083491735408
2026-2-18T0:1:28	6867.5628372157234	667.75138188069263	-0.00031088384157076758	-0.73663228577696749	7.5642656302796238	-7.1976726848032949e-06	0.65819501493377841	-0.093074426302868107	-0.61391171786933496	0.42570939028101407
2026-2-18T0:1:29	6866.822032751923	675.31524025440331	-0.0003181248650929996	-0.74497649242114805	7.5634495852786907	-7.2843954578831767e-06	0.65823889632663124	-0.093069682546754531	-0.61388043203541032	0.42568769484606706
2026-2-18T0:1:30	6866.0728845313697	682.8782779876874	-0.00032545267474849883	-0.75331979759901901	7.5626243495905392	-7.3712450164780879e-06	0.65828327982869506	-0.093064883937507711	-0.61384878447569502	0.42566574856262679
2026-2-18T0:1:31	6865.3153934605771	690.44048589035197	-0.00033286739751629477	-0.76166219121710432	7.5617899242054296	-7.4582217457053798e-06	0.65832816536181926	-0.093060030463993276	-0.61381677511761978	0.4256435513802394
2026-2-18T0:1:32	6864.549560456152	698.00185477319963	-0.00034036916075477563	-0.77000366318298419	7.5609463101246481	-7.5453260191416468e-06	0.65837355284695631	-0.093055122114952815	-0.61378440388779587	0.42562110324788349
2026-2-18T0:1:33	6863.7753864447923	705.56237544804003	-0.00034795809219007842	-0.77834420340530797	7.5600935083605076	-7.6325581986854629e-06	0.65841944220416104	-0.093050158879003891	-0.61375167071201542	0.42559840411397037
2026-2-18T0:1:34	6862.9928723632866	713.12203872770056	-0.00035563431990434614	-0.78668380179380548	7.5592315199363531	-7.7199186344306367e-06	0.65846583335259068	-0.093045140744640112	-0.61371857551525155	0.42557545392634422
